,Temprature,Smoke_8m_above_ground,Vertically Integrated Smoke,Dew Point,Wind Speed,Relative Humidity,Specific Humidity,Downward Long-Wave Rad. Flux,Downward Short-Wave Rad. Flux,Ground Heat Flux,Wind Gust ,Height of the Level of Free Convection,Upward Long-Wave Rad. Flux ,Upward Short-Wave Rad. Flux
2023-07-01 00:00:00,308.0,0.0,7.748603820800781e-07,278.25,3.318359375,22.203125,0.006351470947265625,341.0,512.5,-10.0,3.837890625,1294.0,449.0,103.5
2023-07-01 01:00:00,305.75,0.0,8.344650268554688e-07,278.0,2.94140625,21.703125,0.0062408447265625,344.0,312.0,40.0,4.046875,1294.0,436.5,67.75
2023-07-01 02:00:00,302.75,0.0,8.344650268554688e-07,277.75,2.501953125,21.90625,0.00608062744140625,340.0,121.0,60.0,3.232421875,1294.0,418.75,28.5
2023-07-01 03:00:00,299.0,0.0,7.152557373046875e-07,278.75,1.9404296875,24.796875,0.006450653076171875,339.0,0.0,110.0,3.5078125,1294.0,399.25,0.0
2023-07-01 04:00:00,297.0,0.0,7.152557373046875e-07,279.0,1.1904296875,28.90625,0.006580352783203125,333.5,0.0,60.0,2.53515625,1294.0,387.5,0.0
2023-07-01 05:00:00,293.75,0.0,7.152557373046875e-07,280.0,1.564453125,33.5,0.007160186767578125,332.0,-10000.0,111.0,1.5546875,1294.0,371.75,-10000.0
2023-07-01 06:00:00,292.5,0.0,7.152557373046875e-07,280.5,1.376953125,36.90625,0.007381439208984375,329.5,-10000.0,90.0,1.8671875,1294.0,365.5,-10000.0
2023-07-01 07:00:00,291.25,0.0,7.748603820800781e-07,279.5,1.9375,36.90625,0.006870269775390625,322.25,-10000.0,80.0,1.9208984375,1294.0,359.0,-10000.0
2023-07-01 08:00:00,290.25,0.0,8.344650268554688e-07,279.75,2.939453125,43.1875,0.006969451904296875,319.25,-10000.0,75.0,3.220703125,1294.0,354.0,-10000.0
2023-07-01 09:00:00,289.0,0.0,8.940696716308594e-07,279.5,2.6875,45.90625,0.00682830810546875,316.75,0.0,81.0,3.5546875,1294.0,347.75,0.0
2023-07-01 10:00:00,288.5,0.0,8.344650268554688e-07,279.75,2.501953125,45.3125,0.006938934326171875,315.0,0.0,85.0,3.228515625,1294.0,346.0,0.0
2023-07-01 11:00:00,289.0,0.0,7.748603820800781e-07,280.25,2.939453125,49.8125,0.007259368896484375,313.0,0.0,70.0,3.79296875,1294.0,347.75,0.0
