,Temprature,Smoke_8m_above_ground,Vertically Integrated Smoke,Dew Point,Wind Speed,Relative Humidity,Specific Humidity,Downward Long-Wave Rad. Flux,Downward Short-Wave Rad. Flux,Ground Heat Flux,Wind Gust ,Height of the Level of Free Convection,Upward Long-Wave Rad. Flux ,Upward Short-Wave Rad. Flux
2024-02-14 19:00:00,283.75,0.0,5.960464477539063e-08,271.75,2.5625,52.1875,0.0039711,248.125,551.5,-50.0,4.890625,1294.0,323.25,103.1875
2024-02-14 20:00:00,285.25,0.0,5.960464477539063e-08,270.75,1.8769531,46.90625,0.003709793,272.75,581.0,-80.0,5.1289062,1294.0,330.75,108.5625
2024-02-14 21:00:00,285.5,0.0,5.960464477539063e-08,270.0,1.8779297,42.40625,0.0034694672,300.0,325.5,-40.0,5.4570312,1294.0,331.25,61.90625
2024-02-14 22:00:00,283.25,0.0,5.960464477539063e-08,269.25,2.5039062,37.90625,0.0032691956,298.5,212.25,10.0,5.8164062,1294.0,321.5,41.875
2024-02-14 23:00:00,284.25,0.0,1.1920928955078125e-07,269.5,5.9453125,38.3125,0.0033493042,293.75,100.875,-10.0,8.0,1294.0,325.25,21.0
2024-02-15 00:00:00,283.5,0.0,1.1920928955078125e-07,269.0,5.6875,36.09375,0.003189087,277.0,65.0,0.0,7.921875,1294.0,322.75,14.625
2024-02-15 01:00:00,281.0,0.0,1.1920928955078125e-07,269.0,4.3789062,36.0,0.0032100677,254.75,0.0,50.0,8.609375,1294.0,311.5,0.0
2024-02-15 02:00:00,280.25,0.0,1.1920928955078125e-07,270.25,3.8144531,44.0,0.0035305023,247.5,0.0,70.0,10.0546875,1294.0,308.0,0.0
2024-02-15 03:00:00,279.0,0.0,1.1920928955078125e-07,270.5,2.8164062,47.59375,0.0036506653,280.75,-10000.0,70.0,10.9609375,1294.0,302.0,-10000.0
2024-02-15 04:00:00,278.5,0.0,5.960464477539063e-08,270.5,2.6269531,47.8125,0.003610611,251.25,-10000.0,60.0,9.4296875,1294.0,300.0,-10000.0
2024-02-15 05:00:00,278.25,0.0,5.960464477539063e-08,270.75,1.9414062,49.0,0.0036506653,256.5,-10000.0,50.0,11.84375,1294.0,298.75,-10000.0
2024-02-15 06:00:00,278.25,0.0,5.960464477539063e-08,271.25,2.3769531,50.6875,0.0038108826,303.5,-10000.0,50.0,11.7734375,1294.0,299.0,-10000.0
2024-02-15 07:00:00,278.5,0.0,5.960464477539063e-08,270.75,2.3769531,48.59375,0.0037002563,279.0,-10000.0,40.0,10.2265625,1294.0,300.0,-10000.0
2024-02-15 08:00:00,278.5,0.0,5.960464477539063e-08,271.5,1.8154297,51.09375,0.0038700104,323.5,-10000.0,40.0,11.234375,1294.0,299.75,-10000.0
2024-02-15 09:00:00,279.0,0.0,5.960464477539063e-08,271.0,4.375,46.0,0.0037498474,321.5,-10000.0,30.0,14.859375,1294.0,302.75,-10000.0
2024-02-15 10:00:00,279.25,0.0,5.960464477539063e-08,271.0,5.6289062,46.1875,0.0037498474,333.25,-10000.0,30.0,13.5546875,1294.0,303.25,-10000.0
2024-02-15 11:00:00,279.25,0.0,5.960464477539063e-08,270.75,5.7539062,46.5,0.0037002563,325.5,-10000.0,30.0,14.4921875,1294.0,303.75,-10000.0
2024-02-15 12:00:00,279.75,0.0,5.960464477539063e-08,270.0,4.8125,42.8125,0.0034809113,331.0,0.0,20.0,12.125,1294.0,305.5,0.0
2024-02-15 13:00:00,279.75,0.0,5.960464477539063e-08,271.75,5.3164062,52.90625,0.0039596558,330.25,0.0,50.0,11.7734375,1294.0,306.25,0.0
2024-02-15 14:00:00,278.75,0.0,5.960464477539063e-08,272.5,5.5625,60.59375,0.004211426,327.5,0.0,60.0,9.7265625,1294.0,301.5,0.0
2024-02-15 15:00:00,278.0,0.0,5.960464477539063e-08,274.75,6.5,75.8125,0.004940033,327.0,1.4003906,50.0,13.1796875,1294.0,298.25,0.375
2024-02-15 16:00:00,278.25,0.0,5.960464477539063e-08,275.25,7.1914062,80.6875,0.005039215,323.75,2.8007812,30.0,13.296875,1294.0,299.0,0.625
2024-02-15 17:00:00,280.25,0.0,5.960464477539063e-08,275.0,5.3789062,77.375,0.0050315857,321.0,29.59375,-10.0,9.5234375,1294.0,308.25,5.9101562
2024-02-15 18:00:00,279.0,0.0,0.0,275.25,3.3808594,80.3125,0.0051116943,326.75,2.5996094,30.0,6.6875,1294.0,302.25,0.53222656
