,Temprature,Smoke_8m_above_ground,Vertically Integrated Smoke,Dew Point,Wind Speed,Relative Humidity,Specific Humidity,Downward Long-Wave Rad. Flux,Downward Short-Wave Rad. Flux,Ground Heat Flux,Wind Gust ,Height of the Level of Free Convection,Upward Long-Wave Rad. Flux ,Upward Short-Wave Rad. Flux
2021-08-30 00:00:00,305.5,20.4,0.0001195,278.2,3.502,21.1,0.00633,342.5,354.8,30.0,4.184,1294.0,434.8,74.75
2021-08-30 01:00:00,302.0,16.48,0.0001116,279.5,2.816,24.6,0.00689,338.2,146.8,60.0,3.992,1294.0,414.8,33.62
2021-08-30 02:00:00,298.5,14.8,0.0001224,280.2,1.752,28.2,0.0073,336.0,0.0,80.0,2.889,1294.0,396.2,0.0
2021-08-30 03:00:00,296.0,14.8,0.0001114,280.5,2.568,33.6,0.00739,326.0,0.0,60.0,2.941,1294.0,383.5,0.0
2021-08-30 04:00:00,294.2,14.64,0.0001011,278.2,0.3145,29.8,0.00629,321.5,-10000.0,30.0,0.3157,1294.0,374.2,-10000.0
2021-08-30 05:00:00,292.5,14.48,9.87e-05,278.0,2.252,31.7,0.00617,319.0,-10000.0,40.0,2.244,1294.0,365.5,-10000.0
2021-08-30 06:00:00,290.8,14.48,9.4e-05,281.5,3.127,48.9,0.00789,311.5,-10000.0,120.0,3.756,1294.0,356.0,-10000.0
2021-08-30 07:00:00,291.2,14.72,9.32e-05,281.0,2.752,44.3,0.00763,314.8,-10000.0,40.0,3.055,1294.0,359.2,-10000.0
2021-08-30 08:00:00,289.2,15.92,8.38e-05,281.2,2.254,51.6,0.00775,312.0,-10000.0,70.0,2.426,1294.0,348.8,-10000.0
2021-08-30 09:00:00,288.2,15.68,7.76e-05,280.2,2.691,52.0,0.00726,308.0,-10000.0,50.0,3.984,1294.0,344.5,-10000.0
2021-08-30 10:00:00,287.8,16.56,8.2e-05,279.5,2.941,47.8,0.00682,306.0,0.0,60.0,4.176,1294.0,342.2,0.0
2021-08-30 11:00:00,287.0,16.88,0.0001136,280.2,3.127,54.3,0.00728,304.5,0.0,100.0,4.28,1294.0,339.0,0.0
2021-08-30 12:00:00,288.5,16.72,9.97e-05,279.2,2.127,48.4,0.00683,307.0,0.0,20.0,3.045,1294.0,345.8,0.0
2021-08-30 13:00:00,288.2,16.88,9.04e-05,279.0,2.69,42.8,0.00662,310.5,0.0,37.0,2.729,1294.0,344.8,0.0
2021-08-30 14:00:00,291.0,16.48,7.73e-05,278.5,2.814,38.6,0.00639,314.8,160.1,10.0,3.746,1294.0,357.8,35.75
2021-08-30 15:00:00,296.2,15.04,8.03e-05,281.2,1.002,43.2,0.00783,315.5,366.0,-80.0,2.443,1294.0,384.8,75.5
2021-08-30 16:00:00,300.0,14.08,9.75e-05,281.8,1.125,40.5,0.00811,317.8,562.5,-90.0,1.796,1294.0,404.5,108.5
2021-08-30 17:00:00,303.2,13.12,0.0001121,282.2,1.004,36.4,0.00828,325.0,724.0,-100.0,1.195,1294.0,422.5,132.9
2021-08-30 18:00:00,307.8,11.28,0.000116,280.5,0.3801,28.1,0.00735,334.0,839.0,-200.0,4.48,1294.0,448.0,148.8
2021-08-30 19:00:00,308.2,8.16,0.0001062,278.0,1.567,21.4,0.00624,335.0,902.0,-10.0,4.4,1294.0,450.2,157.6
2021-08-30 20:00:00,309.0,8.4,9.02e-05,279.5,1.69,22.4,0.00691,343.2,895.0,20.0,3.543,1294.0,455.0,156.8
2021-08-30 21:00:00,310.5,9.2,8.48e-05,281.2,3.564,24.1,0.00774,352.2,826.5,-30.0,3.816,1294.0,463.8,147.8
2021-08-30 22:00:00,310.0,10.0,7.72e-05,283.5,4.19,28.5,0.0091,356.2,706.0,-10.0,4.492,1294.0,460.5,131.2
2021-08-30 23:00:00,309.0,9.52,7.54e-05,280.8,3.625,23.5,0.00751,350.8,543.5,-20.0,4.33,1294.0,454.0,106.75
2021-08-31 00:00:00,307.2,9.84,6.94e-05,279.0,2.877,20.1,0.00665,349.5,348.5,-10.0,3.316,1294.0,444.8,73.5
2021-08-31 01:00:00,304.0,10.8,6.32e-05,280.2,1.442,22.4,0.00725,345.2,142.1,80.0,2.223,1294.0,425.8,32.62
2021-08-31 02:00:00,299.5,11.04,6.33e-05,280.5,0.692,24.4,0.00738,343.2,0.0,110.0,0.6724,1294.0,401.0,0.0
2021-08-31 03:00:00,297.0,10.88,6.98e-05,279.8,1.628,26.1,0.00704,337.8,0.0,40.0,1.632,1294.0,388.2,0.0
2021-08-31 04:00:00,294.5,10.8,9.19e-05,280.2,2.877,29.8,0.00733,334.8,-10000.0,110.0,3.252,1294.0,375.0,-10000.0
2021-08-31 05:00:00,295.0,9.52,0.0001177,280.0,2.377,32.7,0.00711,328.5,-10000.0,50.0,2.822,1294.0,378.5,-10000.0
2021-08-31 06:00:00,295.0,9.44,9.68e-05,278.8,2.814,30.2,0.00653,326.8,-10000.0,40.0,2.979,1294.0,378.0,-10000.0
2021-08-31 07:00:00,292.5,12.0,7.09e-05,276.5,3.564,30.4,0.00563,320.5,-10000.0,40.0,5.312,1294.0,364.8,-10000.0
2021-08-31 08:00:00,291.0,12.8,6.72e-05,277.5,3.44,30.4,0.00602,321.0,-10000.0,90.0,4.17,1294.0,358.0,-10000.0
2021-08-31 09:00:00,292.2,12.16,6.41e-05,278.0,3.314,33.3,0.00628,322.0,-10000.0,50.0,4.492,1294.0,363.5,-10000.0
2021-08-31 10:00:00,290.8,13.48,5.72e-05,279.5,2.314,36.2,0.0069,316.8,0.0,60.0,3.754,1294.0,357.0,0.0
2021-08-31 11:00:00,291.2,13.52,6.21e-05,277.8,2.564,33.1,0.00616,320.0,0.0,50.0,2.559,1294.0,358.8,0.0
2021-08-31 12:00:00,287.2,12.8,7.83e-05,282.2,2.062,47.1,0.00838,322.5,0.0,130.0,2.678,1294.0,339.5,0.0
2021-08-31 13:00:00,289.0,12.0,9.64e-05,281.5,1.813,51.2,0.00787,314.0,0.0,-20.0,1.787,1294.0,348.0,0.0
2021-08-31 14:00:00,291.5,10.56,8.36e-05,281.0,1.876,45.2,0.00773,319.0,156.8,-40.0,2.102,1294.0,360.0,35.0
2021-08-31 15:00:00,296.5,8.0,0.0001059,280.0,2.129,38.1,0.00712,318.2,363.5,-100.0,2.56,1294.0,385.5,75.0
2021-08-31 16:00:00,302.2,4.4,0.0001221,280.0,3.875,27.5,0.00711,334.8,557.5,-160.0,8.984,1294.0,416.0,107.5
2021-08-31 17:00:00,305.8,4.08,0.0001193,279.8,5.125,25.0,0.00704,339.5,719.0,-108.0,9.6,1294.0,436.2,131.9
2021-08-31 18:00:00,308.0,4.56,0.0001228,281.5,6.816,26.4,0.00794,345.5,831.0,-60.0,9.82,1294.0,449.2,147.5
